split,hybrid_dsc,classical_dsc,delta,hybrid_hd95,classical_hd95
overall,0.6446386575698853,0.6450344920158386,-0.00039583444595336914,11.729827880859375,12.42240047454834
small,0.2752099931240082,0.2736970782279968,0.0015129148960113525,20.863082885742188,21.315147399902344
mid,0.7108261585235596,0.7106069922447205,0.00021916627883911133,10.7637357711792,11.446917533874512
large,0.8818057775497437,0.8853394389152527,-0.003533661365509033,8.007652282714844,8.901220321655273
